image1,image2,img1_path,img2_path,img1_items,img2_items
"('yellow', 'cone', 'purple', 'cylinder')","('cyan', 'cube', 'red', 'sphere')",images/yellow_cone_purple_cylinder.png,images/cyan_cube_red_sphere.png,"('S', 'A')","('V', 'B')"
"('yellow', 'cube', 'cyan', 'cylinder')","('green', 'cone', 'blue', 'sphere')",images/yellow_cube_cyan_cylinder.png,images/green_cone_blue_sphere.png,"('Z', 'E')","('T', 'U')"
"('cyan', 'cone', 'green', 'cube')","('red', 'sphere', 'blue', 'cylinder')",images/cyan_cone_green_cube.png,images/red_sphere_blue_cylinder.png,"('L', 'Y')","('J', 'W')"
"('cyan', 'cone', 'yellow', 'cylinder')","('purple', 'sphere', 'green', 'cube')",images/cyan_cone_yellow_cylinder.png,images/purple_sphere_green_cube.png,"('L', 'X')","('R', 'K')"
"('cyan', 'sphere', 'purple', 'cube')","('yellow', 'cylinder', 'green', 'cone')",images/cyan_sphere_purple_cube.png,images/yellow_cylinder_green_cone.png,"('J', 'U')","('N', 'Y')"
"('cyan', 'cone', 'red', 'sphere')","('blue', 'cube', 'yellow', 'cylinder')",images/cyan_cone_red_sphere.png,images/blue_cube_yellow_cylinder.png,"('L', 'V')","('W', 'Z')"
"('red', 'cylinder', 'cyan', 'cube')","('yellow', 'cone', 'green', 'sphere')",images/red_cylinder_cyan_cube.png,images/yellow_cone_green_sphere.png,"('F', 'E')","('P', 'W')"
"('red', 'cube', 'yellow', 'sphere')","('green', 'cone', 'purple', 'cylinder')",images/red_cube_yellow_sphere.png,images/green_cone_purple_cylinder.png,"('C', 'Q')","('G', 'R')"
"('cyan', 'cube', 'yellow', 'cone')","('blue', 'cylinder', 'purple', 'sphere')",images/cyan_cube_yellow_cone.png,images/blue_cylinder_purple_sphere.png,"('H', 'R')","('O', 'S')"
"('cyan', 'sphere', 'purple', 'cone')","('red', 'cube', 'green', 'cylinder')",images/cyan_sphere_purple_cone.png,images/red_cube_green_cylinder.png,"('T', 'C')","('Z', 'Q')"
"('purple', 'cylinder', 'green', 'cone')","('yellow', 'sphere', 'red', 'cube')",images/purple_cylinder_green_cone.png,images/yellow_sphere_red_cube.png,"('C', 'E')","('T', 'U')"
"('purple', 'sphere', 'yellow', 'cylinder')","('green', 'cube', 'blue', 'cone')",images/purple_sphere_yellow_cylinder.png,images/green_cube_blue_cone.png,"('Y', 'T')","('B', 'C')"
"('blue', 'cylinder', 'yellow', 'sphere')","('purple', 'cone', 'red', 'cube')",images/blue_cylinder_yellow_sphere.png,images/purple_cone_red_cube.png,"('Z', 'K')","('R', 'F')"
"('purple', 'cube', 'cyan', 'sphere')","('red', 'cylinder', 'blue', 'cone')",images/purple_cube_cyan_sphere.png,images/red_cylinder_blue_cone.png,"('N', 'J')","('M', 'K')"
"('purple', 'cube', 'blue', 'cone')","('green', 'sphere', 'red', 'cylinder')",images/purple_cube_blue_cone.png,images/green_sphere_red_cylinder.png,"('A', 'K')","('H', 'T')"
"('green', 'sphere', 'yellow', 'cube')","('purple', 'cone', 'blue', 'cylinder')",images/green_sphere_yellow_cube.png,images/purple_cone_blue_cylinder.png,"('X', 'H')","('U', 'L')"
"('yellow', 'sphere', 'red', 'cone')","('purple', 'cylinder', 'green', 'cube')",images/yellow_sphere_red_cone.png,images/purple_cylinder_green_cube.png,"('V', 'H')","('N', 'F')"
"('purple', 'cylinder', 'blue', 'cube')","('yellow', 'sphere', 'cyan', 'cone')",images/purple_cylinder_blue_cube.png,images/yellow_sphere_cyan_cone.png,"('I', 'Q')","('L', 'T')"
"('blue', 'cone', 'yellow', 'cube')","('purple', 'cylinder', 'green', 'sphere')",images/blue_cone_yellow_cube.png,images/purple_cylinder_green_sphere.png,"('R', 'I')","('C', 'D')"
"('green', 'sphere', 'cyan', 'cylinder')","('red', 'cone', 'blue', 'cube')",images/green_sphere_cyan_cylinder.png,images/red_cone_blue_cube.png,"('M', 'D')","('V', 'P')"
"('green', 'cylinder', 'purple', 'sphere')","('cyan', 'cube', 'red', 'cone')",images/green_cylinder_purple_sphere.png,images/cyan_cube_red_cone.png,"('N', 'G')","('Q', 'F')"
"('yellow', 'cylinder', 'blue', 'cone')","('cyan', 'cube', 'red', 'sphere')",images/yellow_cylinder_blue_cone.png,images/cyan_cube_red_sphere.png,"('Z', 'V')","('A', 'F')"
"('red', 'cone', 'yellow', 'sphere')","('blue', 'cylinder', 'purple', 'cube')",images/red_cone_yellow_sphere.png,images/blue_cylinder_purple_cube.png,"('F', 'P')","('I', 'Z')"
"('cyan', 'cube', 'blue', 'cylinder')","('yellow', 'sphere', 'green', 'cone')",images/cyan_cube_blue_cylinder.png,images/yellow_sphere_green_cone.png,"('C', 'Z')","('W', 'G')"
"('cyan', 'cone', 'red', 'cylinder')","('green', 'cube', 'blue', 'sphere')",images/cyan_cone_red_cylinder.png,images/green_cube_blue_sphere.png,"('C', 'P')","('K', 'A')"
"('red', 'cube', 'blue', 'cylinder')","('green', 'cone', 'purple', 'sphere')",images/red_cube_blue_cylinder.png,images/green_cone_purple_sphere.png,"('A', 'D')","('F', 'R')"
"('red', 'cone', 'cyan', 'cube')","('blue', 'sphere', 'purple', 'cylinder')",images/red_cone_cyan_cube.png,images/blue_sphere_purple_cylinder.png,"('L', 'T')","('P', 'G')"
"('blue', 'cone', 'yellow', 'cylinder')","('green', 'sphere', 'cyan', 'cube')",images/blue_cone_yellow_cylinder.png,images/green_sphere_cyan_cube.png,"('V', 'A')","('U', 'I')"
"('cyan', 'sphere', 'purple', 'cube')","('green', 'cylinder', 'yellow', 'cone')",images/cyan_sphere_purple_cube.png,images/green_cylinder_yellow_cone.png,"('H', 'F')","('Y', 'N')"
"('yellow', 'cone', 'cyan', 'sphere')","('blue', 'cube', 'green', 'cylinder')",images/yellow_cone_cyan_sphere.png,images/blue_cube_green_cylinder.png,"('B', 'S')","('C', 'T')"
"('green', 'cylinder', 'blue', 'cube')","('cyan', 'cone', 'yellow', 'sphere')",images/green_cylinder_blue_cube.png,images/cyan_cone_yellow_sphere.png,"('F', 'G')","('S', 'D')"
"('green', 'cube', 'cyan', 'sphere')","('red', 'cone', 'purple', 'cylinder')",images/green_cube_cyan_sphere.png,images/red_cone_purple_cylinder.png,"('E', 'I')","('F', 'J')"
"('yellow', 'cube', 'red', 'cone')","('blue', 'cylinder', 'green', 'sphere')",images/yellow_cube_red_cone.png,images/blue_cylinder_green_sphere.png,"('B', 'S')","('I', 'M')"
"('blue', 'sphere', 'cyan', 'cone')","('green', 'cube', 'yellow', 'cylinder')",images/blue_sphere_cyan_cone.png,images/green_cube_yellow_cylinder.png,"('Y', 'L')","('H', 'X')"
"('blue', 'cylinder', 'cyan', 'cone')","('purple', 'sphere', 'green', 'cube')",images/blue_cylinder_cyan_cone.png,images/purple_sphere_green_cube.png,"('F', 'V')","('T', 'G')"
"('blue', 'sphere', 'red', 'cylinder')","('cyan', 'cube', 'green', 'cone')",images/blue_sphere_red_cylinder.png,images/cyan_cube_green_cone.png,"('L', 'F')","('D', 'J')"
"('green', 'cylinder', 'cyan', 'sphere')","('yellow', 'cone', 'red', 'cube')",images/green_cylinder_cyan_sphere.png,images/yellow_cone_red_cube.png,"('D', 'A')","('I', 'T')"
"('cyan', 'cube', 'yellow', 'sphere')","('green', 'cylinder', 'blue', 'cone')",images/cyan_cube_yellow_sphere.png,images/green_cylinder_blue_cone.png,"('K', 'X')","('T', 'J')"
"('red', 'cube', 'blue', 'cone')","('purple', 'sphere', 'yellow', 'cylinder')",images/red_cube_blue_cone.png,images/purple_sphere_yellow_cylinder.png,"('J', 'X')","('A', 'S')"
"('blue', 'sphere', 'red', 'cube')","('yellow', 'cone', 'purple', 'cylinder')",images/blue_sphere_red_cube.png,images/yellow_cone_purple_cylinder.png,"('D', 'A')","('V', 'H')"
"('blue', 'sphere', 'green', 'cone')","('yellow', 'cylinder', 'purple', 'cube')",images/blue_sphere_green_cone.png,images/yellow_cylinder_purple_cube.png,"('V', 'N')","('W', 'D')"
"('cyan', 'cylinder', 'yellow', 'cube')","('blue', 'sphere', 'green', 'cone')",images/cyan_cylinder_yellow_cube.png,images/blue_sphere_green_cone.png,"('X', 'O')","('W', 'G')"
"('cyan', 'cone', 'green', 'cube')","('red', 'cylinder', 'purple', 'sphere')",images/cyan_cone_green_cube.png,images/red_cylinder_purple_sphere.png,"('N', 'J')","('B', 'T')"
"('blue', 'sphere', 'red', 'cylinder')","('yellow', 'cone', 'cyan', 'cube')",images/blue_sphere_red_cylinder.png,images/yellow_cone_cyan_cube.png,"('C', 'J')","('L', 'M')"
"('yellow', 'cylinder', 'red', 'sphere')","('purple', 'cube', 'cyan', 'cone')",images/yellow_cylinder_red_sphere.png,images/purple_cube_cyan_cone.png,"('Y', 'J')","('C', 'M')"
"('cyan', 'cylinder', 'green', 'cone')","('blue', 'cube', 'purple', 'sphere')",images/cyan_cylinder_green_cone.png,images/blue_cube_purple_sphere.png,"('L', 'I')","('U', 'X')"
"('blue', 'cone', 'purple', 'sphere')","('green', 'cylinder', 'cyan', 'cube')",images/blue_cone_purple_sphere.png,images/green_cylinder_cyan_cube.png,"('P', 'O')","('I', 'N')"
"('yellow', 'cube', 'green', 'cylinder')","('cyan', 'sphere', 'red', 'cone')",images/yellow_cube_green_cylinder.png,images/cyan_sphere_red_cone.png,"('B', 'P')","('O', 'T')"
"('purple', 'cone', 'green', 'cylinder')","('red', 'cube', 'blue', 'sphere')",images/purple_cone_green_cylinder.png,images/red_cube_blue_sphere.png,"('S', 'U')","('B', 'D')"
"('cyan', 'cube', 'red', 'cylinder')","('purple', 'cone', 'green', 'sphere')",images/cyan_cube_red_cylinder.png,images/purple_cone_green_sphere.png,"('E', 'T')","('N', 'R')"
"('green', 'cone', 'red', 'cube')","('blue', 'sphere', 'purple', 'cylinder')",images/green_cone_red_cube.png,images/blue_sphere_purple_cylinder.png,"('R', 'V')","('F', 'H')"
"('blue', 'cone', 'green', 'cylinder')","('red', 'sphere', 'purple', 'cube')",images/blue_cone_green_cylinder.png,images/red_sphere_purple_cube.png,"('D', 'M')","('Z', 'V')"
"('blue', 'sphere', 'cyan', 'cube')","('green', 'cylinder', 'red', 'cone')",images/blue_sphere_cyan_cube.png,images/green_cylinder_red_cone.png,"('Y', 'J')","('M', 'L')"
"('blue', 'cone', 'cyan', 'sphere')","('green', 'cube', 'purple', 'cylinder')",images/blue_cone_cyan_sphere.png,images/green_cube_purple_cylinder.png,"('Y', 'V')","('M', 'H')"
"('red', 'cylinder', 'cyan', 'cube')","('blue', 'cone', 'yellow', 'sphere')",images/red_cylinder_cyan_cube.png,images/blue_cone_yellow_sphere.png,"('D', 'O')","('S', 'Z')"
"('green', 'cube', 'yellow', 'sphere')","('red', 'cone', 'blue', 'cylinder')",images/green_cube_yellow_sphere.png,images/red_cone_blue_cylinder.png,"('F', 'C')","('Z', 'P')"
"('red', 'cube', 'green', 'cone')","('cyan', 'cylinder', 'yellow', 'sphere')",images/red_cube_green_cone.png,images/cyan_cylinder_yellow_sphere.png,"('U', 'A')","('J', 'F')"
"('purple', 'sphere', 'green', 'cone')","('red', 'cube', 'yellow', 'cylinder')",images/purple_sphere_green_cone.png,images/red_cube_yellow_cylinder.png,"('J', 'Y')","('D', 'Z')"
"('cyan', 'cylinder', 'red', 'cone')","('purple', 'sphere', 'blue', 'cube')",images/cyan_cylinder_red_cone.png,images/purple_sphere_blue_cube.png,"('A', 'R')","('S', 'T')"
"('green', 'sphere', 'cyan', 'cylinder')","('red', 'cube', 'yellow', 'cone')",images/green_sphere_cyan_cylinder.png,images/red_cube_yellow_cone.png,"('K', 'R')","('P', 'H')"
"('blue', 'cylinder', 'yellow', 'sphere')","('green', 'cone', 'purple', 'cube')",images/blue_cylinder_yellow_sphere.png,images/green_cone_purple_cube.png,"('R', 'U')","('N', 'X')"
"('yellow', 'cube', 'purple', 'sphere')","('blue', 'cylinder', 'red', 'cone')",images/yellow_cube_purple_sphere.png,images/blue_cylinder_red_cone.png,"('O', 'T')","('X', 'Z')"
"('purple', 'cube', 'blue', 'cone')","('red', 'sphere', 'green', 'cylinder')",images/purple_cube_blue_cone.png,images/red_sphere_green_cylinder.png,"('D', 'P')","('T', 'W')"
"('green', 'sphere', 'cyan', 'cube')","('yellow', 'cone', 'purple', 'cylinder')",images/green_sphere_cyan_cube.png,images/yellow_cone_purple_cylinder.png,"('E', 'L')","('S', 'W')"
"('yellow', 'sphere', 'cyan', 'cone')","('purple', 'cylinder', 'red', 'cube')",images/yellow_sphere_cyan_cone.png,images/purple_cylinder_red_cube.png,"('K', 'L')","('W', 'G')"
"('green', 'cylinder', 'cyan', 'cube')","('blue', 'sphere', 'red', 'cone')",images/green_cylinder_cyan_cube.png,images/blue_sphere_red_cone.png,"('X', 'N')","('H', 'Q')"
"('yellow', 'cone', 'cyan', 'cube')","('purple', 'cylinder', 'blue', 'sphere')",images/yellow_cone_cyan_cube.png,images/purple_cylinder_blue_sphere.png,"('N', 'R')","('O', 'D')"
"('green', 'sphere', 'red', 'cylinder')","('purple', 'cone', 'yellow', 'cube')",images/green_sphere_red_cylinder.png,images/purple_cone_yellow_cube.png,"('B', 'H')","('K', 'P')"
"('yellow', 'cylinder', 'purple', 'sphere')","('red', 'cube', 'blue', 'cone')",images/yellow_cylinder_purple_sphere.png,images/red_cube_blue_cone.png,"('J', 'G')","('N', 'X')"
"('red', 'cylinder', 'blue', 'cone')","('cyan', 'cube', 'yellow', 'sphere')",images/red_cylinder_blue_cone.png,images/cyan_cube_yellow_sphere.png,"('I', 'V')","('S', 'F')"
